date,close,start,high,low,volume,transactionPrice,capitalization
2022-04-20,67400,67000,67400,66500,16693293,1116160000000.0,402363000000000.0
2022-04-19,67300,67100,68000,67000,12959434,876088000000.0,401766000000000.0
2022-04-18,66700,66500,67100,66100,10119203,675310000000.0,398184000000000.0
2022-04-15,66600,67200,67300,66500,13176415,878858000000.0,397588000000000.0
2022-04-14,67500,68700,68700,67500,16409494,1112670000000.0,402960000000000.0
2022-04-13,68700,67300,69000,67200,17378619,1183210000000.0,410124000000000.0
2022-04-12,67000,67600,67700,67000,13924389,936612000000.0,399975000000000.0
2022-04-11,67900,67800,68100,67400,12263735,831095000000.0,405348000000000.0
2022-04-08,67800,68100,68300,67700,15453191,1050380000000.0,404751000000000.0
2022-04-07,68000,68500,68500,68000,20683327,1409870000000.0,405945000000000.0
2022-04-06,68500,68600,68800,68500,15517308,1064610000000.0,408930000000000.0
2022-04-05,69200,69400,69600,69100,8467248,586498000000.0,413109000000000.0
2022-04-04,69300,68900,69300,68600,11107905,766930000000.0,413706000000000.0
2022-04-01,69100,69500,69500,69000,15916846,1100420000000.0,412512000000000.0
2022-03-31,69600,69900,70200,69600,12510366,873213000000.0,415497000000000.0
2022-03-30,69900,70300,70500,69800,12670187,887514000000.0,417288000000000.0
2022-03-29,70200,70000,70300,69800,13686208,958590000000.0,419079000000000.0
2022-03-28,69700,69500,69900,69200,12619289,878172000000.0,416094000000000.0
2022-03-25,69800,70100,70200,69600,12986010,906006000000.0,416691000000000.0
2022-03-24,69800,69600,70300,69600,37943357,2628890000000.0,416691000000000.0
2022-03-23,70500,70600,71200,70300,12398025,875833000000.0,420870000000000.0
2022-03-22,70300,69900,70500,69900,9402666,660386000000.0,419676000000000.0
2022-03-21,69900,70900,71000,69900,11169002,784175000000.0,417288000000000.0
2022-03-18,70700,70600,70900,70200,14410038,1017180000000.0,422064000000000.0
2022-03-17,71200,71200,71800,70900,17646315,1258700000000.0,425049000000000.0
2022-03-16,70400,70200,70500,69700,10175750,713365000000.0,420273000000000.0
2022-03-15,69500,69800,70100,69500,10258562,715550000000.0,414900000000000.0
2022-03-14,70200,70000,70200,69600,9040993,632752000000.0,419079000000000.0
2022-03-11,70000,70500,70700,69700,15787655,1105590000000.0,417885000000000.0
2022-03-10,71200,70800,71200,70500,21159248,1500940000000.0,425049000000000.0
2022-03-08,69500,68800,70000,68700,15828269,1100280000000.0,414900000000000.0
2022-03-07,70100,70000,70600,69900,18617138,1305290000000.0,418482000000000.0
2022-03-04,71500,72700,72700,71200,13409634,960572000000.0,426839000000000.0
2022-03-03,72900,72300,73100,72200,13232638,962676000000.0,435197000000000.0
2022-03-02,71700,72300,72400,71500,12481430,897369000000.0,428033000000000.0
2022-02-28,72100,71100,72100,71000,17781783,1272250000000.0,430421000000000.0
2022-02-25,71900,72100,72600,71900,13168484,950762000000.0,429227000000000.0
2022-02-24,71500,72300,72300,71300,15759283,1130170000000.0,426839000000000.0
2022-02-23,73000,73800,73800,72800,10397964,759965000000.0,435794000000000.0
2022-02-22,73400,73000,73400,72800,11692469,854469000000.0,438182000000000.0
2022-02-21,74200,73200,74300,72600,10489717,769774000000.0,442958000000000.0
2022-02-18,74300,74600,74800,73700,10122226,751583000000.0,443555000000000.0
2022-02-17,75000,75000,75600,74500,13605382,1021980000000.0,447734000000000.0
2022-02-16,74800,74600,74900,74200,10767386,802449000000.0,446540000000000.0
2022-02-15,73700,74100,74200,73100,9320365,686707000000.0,439973000000000.0
2022-02-14,73700,74400,74500,73100,13993255,1030680000000.0,439973000000000.0
2022-02-11,74900,75000,75500,74600,12205407,915455000000.0,447137000000000.0
2022-02-10,75400,75600,75800,74700,17746033,1337520000000.0,450122000000000.0
2022-02-09,74700,74300,74700,74000,9699122,722221000000.0,445943000000000.0
2022-02-08,73500,73800,74200,73000,11736666,863666000000.0,438779000000000.0
2022-02-07,73000,73500,73600,72400,14240838,1037300000000.0,435794000000000.0
